episode,timestep,reward,loss,policy_loss,value_loss,dist_entropy
1,2000,46717.7415,-0.2048131674528122,-0.20097461342811584,0.3010812997817993,-15.437921524047852
3,4000,46029.2159,0.06271844357252121,-0.16640537977218628,0.7669494152069092,-15.435087203979492
5,6000,44674.1684,-0.07459387183189392,-0.004593521356582642,0.16858768463134766,-15.429418563842773
7,8000,42427.9811,-0.21564140915870667,-0.14031624794006348,0.15782473981380463,-15.423748016357422
9,10000,46481.5331,0.23238684237003326,0.28799909353256226,0.1971937119960785,-15.42091178894043
11,12000,45761.3422,-0.019819356501102448,-0.035061221569776535,0.3387885093688965,-15.415239334106445
13,14000,43496.9236,-0.016274914145469666,-0.12194211781024933,0.5195824503898621,-15.412403106689453
15,16000,50230.947,-0.07761871069669724,-0.08014511317014694,0.31313052773475647,-15.403883934020996
17,18000,47397.9919,0.03452575206756592,-0.11675618588924408,0.6105847954750061,-15.401046752929688
19,20000,44611.2695,-0.19016459584236145,-0.130691796541214,0.18901851773262024,-15.39820671081543
21,22000,56071.1887,-0.05895010754466057,-0.019074633717536926,0.22809964418411255,-15.392526626586914
23,24000,55448.1272,0.16545358300209045,0.2144865095615387,0.20972776412963867,-15.389684677124023
25,26000,55458.6471,-0.48015230894088745,-0.466574490070343,0.2804676294326782,-15.381158828735352
27,28000,47514.2811,-0.3435571491718292,-0.3463660180568695,0.31318405270576477,-15.378314971923828
29,30000,46961.2759,0.6017652750015259,0.21882808208465576,1.0733838081359863,-15.375471115112305
31,32000,50962.8191,0.2497175633907318,0.06009300798177719,0.6866447925567627,-15.369783401489258
33,34000,61175.2695,-0.20886939764022827,-0.28891754150390625,0.4674350619316101,-15.366937637329102
35,36000,50918.3513,0.2130991518497467,0.0549020990729332,0.6235620975494385,-15.358400344848633
37,38000,47171.8388,-0.33155298233032227,-0.33497726917266846,0.31395965814590454,-15.355552673339844
39,40000,55355.2761,0.0014007985591888428,0.02604907751083374,0.2577575445175171,-15.35270881652832
41,42000,50443.4213,-0.14208653569221497,-0.0736214742064476,0.17001011967658997,-15.34701156616211
43,44000,52331.2276,-0.01537342369556427,-0.13279536366462708,0.5417270660400391,-15.344161987304688
45,46000,52328.7808,0.029126808047294617,-0.06745904684066772,0.49994099140167236,-15.338464736938477
47,48000,35704.6508,0.31194981932640076,0.2729627192020416,0.38462933897972107,-15.332761764526367
49,50000,46610.4478,0.07506148517131805,-0.10698018968105316,0.6706815958023071,-15.329910278320312
51,52000,43720.4461,-0.13250039517879486,-0.1124604344367981,0.2664042115211487,-15.32420539855957
53,54000,46785.7468,0.2629566490650177,0.07958048582077026,0.6731794476509094,-15.321356773376465
55,56000,58651.416,0.024501584470272064,-0.049395158886909485,0.4541063904762268,-15.31564712524414
57,58000,44518.8135,-0.06011746823787689,-0.13598646223545074,0.45793673396110535,-15.309938430786133
59,60000,44807.1331,-0.1499173641204834,-0.4343588948249817,0.8750247955322266,-15.307085037231445
61,62000,46217.2554,-0.15431281924247742,-0.06638523936271667,0.13017237186431885,-15.301374435424805
63,64000,51920.4377,-0.3013198971748352,-0.21184420585632324,0.12696179747581482,-15.295658111572266
65,66000,48668.6303,-0.010785430669784546,-0.10026059299707413,0.4848063588142395,-15.292800903320312
67,68000,48576.5213,-0.004289960488677025,0.044430024921894073,0.20830175280570984,-15.287087440490723
69,70000,54166.5707,-0.23392793536186218,-0.27284061908721924,0.38350987434387207,-15.284225463867188
71,72000,55284.9057,0.10180574655532837,-0.18622690439224243,0.8816354274749756,-15.278507232666016
73,74000,46778.0825,-0.2195654660463333,-0.30079177021980286,0.46790826320648193,-15.272786140441895
75,76000,49615.2788,0.2909497618675232,-0.16037552058696747,1.2080490589141846,-15.269926071166992
77,78000,50898.0708,0.20931218564510345,-0.17811858654022217,1.0801455974578857,-15.264202117919922
79,80000,57289.4156,0.0608147531747818,-0.2272035777568817,0.8812633752822876,-15.261338233947754
81,82000,45639.5959,-0.0018918514251708984,0.01117781549692154,0.2790302038192749,-15.258478164672852
83,84000,52427.9806,-0.4139985144138336,-0.3410901427268982,0.15918096899986267,-15.249883651733398
85,86000,47499.3168,-0.2967500388622284,-0.5427761077880859,0.7969924211502075,-15.247018814086914
87,88000,50201.0168,0.3261735439300537,-0.06818932294845581,1.0935513973236084,-15.24128532409668
89,90000,53213.2265,0.06351488828659058,-0.016491148620843887,0.4647805094718933,-15.238420486450195
91,92000,58694.9123,0.057131581008434296,-0.10887297242879868,0.6367202401161194,-15.235555648803711
93,94000,53554.2946,0.9960500001907349,-0.3165646493434906,2.9297683238983154,-15.226949691772461
